,link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale,postal_code_str,province
1251,https://www.immoweb.be/en/classified/duplex/for-sale/herne/1541/20221634,20221634,Herne,1541,359000.0,APARTMENT,DUPLEX,3,116.0,0.0,0,24.0,,0.0,0,,HYPER_EQUIPPED,AS_NEW,FOR_SALE,1541,Vlaams-Brabant
1252,https://www.immoweb.be/en/classified/house/for-sale/sint-pieters-kapelle/1541/20283636,20283636,Sint-pieters-kapelle,1541,469000.0,HOUSE,HOUSE,3,192.0,,0,,,3.0,0,884.0,,GOOD,FOR_SALE,1541,Vlaams-Brabant
1253,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/herne/1541/20189212,20189212,Herne,1541,249000.0,HOUSE,MIXED_USE_BUILDING,7,341.0,,0,0.0,,2.0,0,220.0,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE,1541,Vlaams-Brabant
1254,https://www.immoweb.be/en/classified/house/for-sale/herne/1541/11248124,11248124,Herne,1541,375000.0,HOUSE,HOUSE,3,315.0,0.0,0,,,3.0,1,1320.0,INSTALLED,GOOD,FOR_SALE,1541,Vlaams-Brabant
1255,https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9051/20278755,20278755,Gent,9051,260000.0,APARTMENT,GROUND_FLOOR,1,60.0,0.0,0,10.0,,4.0,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE,9051,Oost-Vlaanderen
1256,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9051/20278751,20278751,Gent,9051,345000.0,APARTMENT,APARTMENT,2,88.0,0.0,0,13.0,,4.0,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE,9051,Oost-Vlaanderen
1257,https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/20272630,20272630,Sint-denijs-westrem,9051,380000.0,APARTMENT,APARTMENT,2,99.0,0.0,0,10.0,,0.0,0,,HYPER_EQUIPPED,GOOD,FOR_SALE,9051,Oost-Vlaanderen
1258,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9051/20278760,20278760,Gent,9051,385000.0,APARTMENT,APARTMENT,2,99.0,0.0,0,23.0,,4.0,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE,9051,Oost-Vlaanderen
1259,https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9051/20278750,20278750,Gent,9051,355000.0,APARTMENT,GROUND_FLOOR,3,101.0,0.0,0,13.0,,4.0,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE,9051,Oost-Vlaanderen
1260,https://www.immoweb.be/en/classified/mansion/for-sale/vichte/8570/20268711,20268711,Vichte,8570,595000.0,HOUSE,MANSION,3,275.0,,0,0.0,,0.0,0,1947.0,INSTALLED,TO_BE_DONE_UP,FOR_SALE,8570,West-Vlaanderen
1261,https://www.immoweb.be/en/classified/apartment/for-sale/anzegem/8570/20281079,20281079,Anzegem,8570,199000.0,APARTMENT,APARTMENT,2,92.0,,0,4.0,,4.0,0,,INSTALLED,GOOD,FOR_SALE,8570,West-Vlaanderen
1262,https://www.immoweb.be/en/classified/house/for-sale/ingooigem/8570/20279587,20279587,Ingooigem,8570,349000.0,HOUSE,HOUSE,3,168.0,,0,0.0,,3.0,0,390.0,,GOOD,FOR_SALE,8570,West-Vlaanderen
