,property_id,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building
17199,20348409,7700,189000,HOUSE,HOUSE,5,167.0,0.0,0,21.0,50.0,2.0,1,195.0,INSTALLED,GOOD
17200,20174232,4130,315000,APARTMENT,APARTMENT,3,125.0,0.0,0,10.0,1240.0,3.0,0,0.0,UNKNOWN,GOOD
17201,20400043,6511,168000,HOUSE,HOUSE,3,140.0,0.0,0,11.0,440.0,3.0,0,1292.0,SEMI_EQUIPPED,UNKNOWN
17203,20402047,8400,139000,APARTMENT,APARTMENT,1,62.0,0.0,0,10.0,0.0,2.0,0,0.0,UNKNOWN,GOOD
17204,20399867,8400,585000,APARTMENT,APARTMENT,4,164.0,0.0,0,3.0,0.0,0.0,0,0.0,UNKNOWN,GOOD
17205,20399186,4690,119000,HOUSE,HOUSE,2,74.0,0.0,0,72.0,580.0,3.0,1,655.0,NOT_INSTALLED,TO_RENOVATE
17206,11008674,7700,370000,HOUSE,HOUSE,4,167.0,0.0,0,21.0,404.0,0.0,0,167.0,UNKNOWN,GOOD
17207,20400266,4130,460000,HOUSE,APARTMENT_BLOCK,6,234.0,0.0,0,30.0,0.0,3.0,1,260.0,INSTALLED,GOOD
17208,20399857,9070,275000,APARTMENT,APARTMENT,3,106.0,0.0,0,14.0,0.0,0.0,0,0.0,INSTALLED,GOOD
17210,20402044,9890,279000,HOUSE,HOUSE,3,150.0,0.0,0,20.0,0.0,3.0,0,423.0,SEMI_EQUIPPED,TO_RENOVATE
17211,20324651,6690,140000,APARTMENT,APARTMENT,1,67.0,0.0,0,10.0,0.0,4.0,0,0.0,INSTALLED,UNKNOWN
17212,20349280,6690,149000,HOUSE,HOUSE,3,157.0,0.0,0,21.0,35.0,4.0,1,0.0,UNKNOWN,UNKNOWN
17213,20099081,6690,79000,HOUSE,HOUSE,2,134.0,0.0,0,20.0,0.0,2.0,0,544.0,NOT_INSTALLED,UNKNOWN
17214,20356548,3001,645000,HOUSE,HOUSE,5,195.0,0.0,0,24.0,0.0,2.0,0,0.0,UNKNOWN,AS_NEW
17215,20305226,3001,279000,APARTMENT,FLAT_STUDIO,1,27.0,1.0,0,13.0,32.0,2.0,0,0.0,HYPER_EQUIPPED,AS_NEW
17216,20377587,5555,275000,HOUSE,HOUSE,3,157.0,0.0,0,8.0,0.0,4.0,1,450.0,NOT_INSTALLED,AS_NEW
17217,20362712,9890,389000,HOUSE,HOUSE,3,262.0,0.0,0,30.0,178.0,0.0,0,493.0,UNKNOWN,GOOD
17218,20329267,1180,675000,APARTMENT,APARTMENT,4,147.0,0.0,0,11.0,0.0,2.0,1,0.0,INSTALLED,GOOD
17219,20389581,6690,99000,HOUSE,HOUSE,3,157.0,0.0,0,21.0,0.0,3.0,0,550.0,NOT_INSTALLED,TO_RENOVATE
17220,20390177,3290,295000,HOUSE,HOUSE,3,200.0,0.0,0,25.0,0.0,2.0,0,265.0,INSTALLED,GOOD
