link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale,street,lon,lat
https://www.immoweb.be/en/classified/mansion/for-sale/gijzegem/9308/20401713,20401713,Gijzegem,9308,695000,HOUSE,MANSION,4,227,,0,null,null,,0,2112,,,FOR_SALE,Steenweg op Oudegem,4.064032099999999,51.01515329999999
https://www.immoweb.be/en/classified/villa/for-sale/ittre/1460/20058404,20058404,Ittre,1460,450000,HOUSE,VILLA,3,145,0,0,,null,4,0,1482,,AS_NEW,FOR_SALE,Rue du Croiseau,4.2547275,50.6349865
https://www.immoweb.be/en/classified/house/for-sale/ittre/1460/20215932,20215932,ITTRE,1460,1200000,HOUSE,HOUSE,5,365,,1,157,4000,4,1,4303,USA_HYPER_EQUIPPED,AS_NEW,FOR_SALE,,,
https://www.immoweb.be/en/classified/apartment/for-sale/lessen/7860/20402148,20402148,LESSEN,7860,235000,APARTMENT,APARTMENT,2,111,,0,null,null,2,0,,INSTALLED,GOOD,FOR_SALE,CHAUSSEE DE RENAIX,3.822375699999999,50.712778
https://www.immoweb.be/en/classified/villa/for-sale/ittre/1460/11462188,11462188,Ittre,1460,1595000,HOUSE,VILLA,8,560,,0,105,1500,4,1,34954,HYPER_EQUIPPED,AS_NEW,FOR_SALE,,,
https://www.immoweb.be/en/classified/apartment/for-sale/ittre/1460/20342053,20342053,Ittre,1460,255000,APARTMENT,APARTMENT,2,100,0,0,4,null,2,0,,,,FOR_SALE,"Rue de Virginal, 2 (D3)",4.2587625,50.646285
https://www.immoweb.be/en/classified/house/for-sale/la-louviere/7100/10922774,10922774,La Louvière,7100,273607,HOUSE,HOUSE,3,133,,0,null,null,0,0,297,,GOOD,FOR_SALE,rue Marie José,4.1008683,50.4465728
https://www.immoweb.be/en/classified/exceptional-property/for-sale/ittre/1460/20291731,20291731,Ittre,1460,1595000,HOUSE,EXCEPTIONAL_PROPERTY,8,560,0,0,105,1500,4,1,34954,HYPER_EQUIPPED,AS_NEW,FOR_SALE,,,
https://www.immoweb.be/en/classified/apartment/for-sale/neufchateau/6840/20230270,20230270,Neufchateau,6840,159000,APARTMENT,APARTMENT,1,83,0,0,14,null,0,1,,SEMI_EQUIPPED,GOOD,FOR_SALE,Place du Faubourg,5.4403795,49.84073919999999
https://www.immoweb.be/en/classified/house/for-sale/nimy/7020/20175834,20175834,Nimy,7020,170000,HOUSE,HOUSE,2,153,,0,null,null,0,0,540,NOT_INSTALLED,TO_RENOVATE,FOR_SALE,Rue Félix Nihoul,3.9439334,50.4792484
https://www.immoweb.be/en/classified/ground-floor/for-sale/mortsel/2640/20353434,20353434,MORTSEL,2640,279000,APARTMENT,GROUND_FLOOR,2,110,,0,20,null,0,0,,INSTALLED,GOOD,FOR_SALE,Deurnestraat,4.446705199999999,51.1791165
https://www.immoweb.be/en/classified/apartment-block/for-sale/antwerpen/2060/20358176,20358176,ANTWERPEN,2060,525000,HOUSE,APARTMENT_BLOCK,4,192,,0,null,null,3,0,51,,GOOD,FOR_SALE,Lange Beeldekensstraat,4.4249076,51.22140169999999
https://www.immoweb.be/en/classified/apartment/for-sale/la-louviere/7100/20337795,20337795,LA LOUVIÈRE,7100,150000,APARTMENT,APARTMENT,2,85,,0,null,null,2,0,,SEMI_EQUIPPED,JUST_RENOVATED,FOR_SALE,,,
https://www.immoweb.be/en/classified/house/for-sale/lessines/7860/20302077,20302077,Lessines,7860,250000,HOUSE,HOUSE,3,167,,0,34,230,2,1,350,INSTALLED,GOOD,FOR_SALE,,,
https://www.immoweb.be/en/classified/house/for-sale/la-louviere/7100/10922777,10922777,La Louvière,7100,274585,HOUSE,HOUSE,3,133,,0,null,null,0,0,325,,GOOD,FOR_SALE,rue Marie José,4.1008683,50.4465728
https://www.immoweb.be/en/classified/apartment/for-sale/neufchateau-longlier/6840/20359651,20359651,Neufchateau-Longlier,6840,219000,APARTMENT,APARTMENT,2,83,0,0,9,null,0,1,,NOT_INSTALLED,,FOR_SALE,Chaussee de Bastogne,5.472063,49.8633111
https://www.immoweb.be/en/classified/house/for-sale/aalst-gijzegem/9308/20401099,20401099,Aalst Gijzegem,9308,330000,HOUSE,HOUSE,3,228,,0,,null,2,0,278,INSTALLED,GOOD,FOR_SALE,Vereeckenstraat,4.0532897,50.9848563
https://www.immoweb.be/en/classified/house/for-sale/mortsel/2640/20377837,20377837,MORTSEL,2640,595000,HOUSE,HOUSE,4,231,,0,,80,0,0,200,INSTALLED,GOOD,FOR_SALE,De Valk,4.4751859,51.1638464
https://www.immoweb.be/en/classified/house/for-sale/la-louviere/7100/10727494,10727494,La Louvière,7100,321133,HOUSE,HOUSE,3,132,,0,null,null,0,0,532,,GOOD,FOR_SALE,rue Marie José,4.1008683,50.4465728
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/20353793,20353793,Antwerpen,2060,239000,APARTMENT,APARTMENT,1,80,,0,21,null,2,0,,USA_INSTALLED,GOOD,FOR_SALE,Nachtegaalstraat,4.4233826,51.2234621
https://www.immoweb.be/en/classified/house/for-sale/hamipre/6840/20370026,20370026,Hamipré,6840,198000,HOUSE,HOUSE,2,120,,0,null,null,4,0,1432,INSTALLED,TO_BE_DONE_UP,FOR_SALE,Chaussée d'Arlon,5.4582038,49.8375332
https://www.immoweb.be/en/classified/house/for-sale/la-louviere/7100/10922773,10922773,La Louvière,7100,273579,HOUSE,HOUSE,3,133,,0,null,null,0,0,294,,GOOD,FOR_SALE,rue Marie José,4.1008683,50.4465728
https://www.immoweb.be/en/classified/apartment/for-sale/zwevegem/8550/10087370,10087370,Zwevegem,8550,331086,APARTMENT,APARTMENT,2,110,0,0,null,null,,0,,,,FOR_SALE,Kortrijkstraat,3.3327261,50.8128351
https://www.immoweb.be/en/classified/house/for-sale/ittre-virginal/1460/20121333,20121333,Ittre (Virginal),1460,475000,HOUSE,HOUSE,3,166,0,0,null,null,3,1,526,,GOOD,FOR_SALE,de Samme 80,4.259249,50.6461199
https://www.immoweb.be/en/classified/mansion/for-sale/antwerpen/2060/20373252,20373252,Antwerpen,2060,850000,HOUSE,MANSION,4,235,,0,20,null,4,0,258,,AS_NEW,FOR_SALE,Everaertsstraat,4.4228982,51.22681170000001
https://www.immoweb.be/en/classified/house/for-sale/lessines/7860/20202965,20202965,Lessines,7860,335000,HOUSE,HOUSE,4,225,0,0,,null,3,1,600,,GOOD,FOR_SALE,,,
https://www.immoweb.be/en/classified/house/for-sale/la-louviere/7100/20385114,20385114,La Louvière,7100,150000,HOUSE,HOUSE,4,190,,0,null,365,3,1,365,,,FOR_SALE,,,
https://www.immoweb.be/en/classified/house/for-sale/lessines/7860/20196845,20196845,Lessines,7860,99000,HOUSE,HOUSE,3,,,0,,null,3,0,0,,TO_RENOVATE,FOR_SALE,,,
https://www.immoweb.be/en/classified/apartment/for-sale/zwevegem/8550/10087368,10087368,Zwevegem,8550,389318,APARTMENT,APARTMENT,2,118,0,0,null,null,,0,,,,FOR_SALE,Kortrijkstraat,3.3327261,50.8128351
https://www.immoweb.be/en/classified/apartment/for-sale/neufchateau/6840/20057594,20057594,NEUFCHÂTEAU,6840,195000,APARTMENT,APARTMENT,3,93,0,0,null,null,3,0,,INSTALLED,,FOR_SALE,,,
https://www.immoweb.be/en/classified/villa/for-sale/ittre/1460/20364973,20364973,Ittre,1460,495000,HOUSE,VILLA,4,197,,1,,200,4,1,560,USA_INSTALLED,AS_NEW,FOR_SALE,,,
https://www.immoweb.be/en/classified/house/for-sale/la-louviere-trivieres/7100/20338516,20338516,La Louvière Trivières,7100,129999,HOUSE,HOUSE,4,173,0,0,,null,2,1,190,SEMI_EQUIPPED,GOOD,FOR_SALE,Rue Saint-Patrice,4.151578499999999,50.4698893
https://www.immoweb.be/en/classified/apartment/for-sale/zwevegem/8550/10087365,10087365,Zwevegem,8550,348818,APARTMENT,APARTMENT,2,110,0,0,null,null,,0,,,,FOR_SALE,Kortrijkstraat,3.3327261,50.8128351
https://www.immoweb.be/en/classified/house/for-sale/zwevegem/8550/20399290,20399290,ZWEVEGEM,8550,179000,HOUSE,HOUSE,2,114,,0,null,null,2,0,409,INSTALLED,JUST_RENOVATED,FOR_SALE,Blokkestraat,3.3411908,50.8182336
https://www.immoweb.be/en/classified/house/for-sale/lessen/7860/20401856,20401856,LESSEN,7860,279500,HOUSE,HOUSE,3,180,,0,35,300,2,0,300,INSTALLED,TO_BE_DONE_UP,FOR_SALE,Chaussée de Renaix,3.822877,50.7126922
https://www.immoweb.be/en/classified/apartment/for-sale/hofstade/9308/20400913,20400913,HOFSTADE,9308,239000,APARTMENT,APARTMENT,2,92,,0,,null,2,0,,INSTALLED,GOOD,FOR_SALE,Steenweg op Aalst,4.0314231,50.9522172
