link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/apartment/for-sale/neder-over-heembeek/1120/20231544,20231544,Neder-over-Heembeek,1120,299000,APARTMENT,APARTMENT,82,0,0,,null,2,1,,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/tourinnes-la-grosse/1320/20192693,20192693,TOURINNES-LA-GROSSE,1320,350000,HOUSE,HOUSE,150,,0,25,null,4,0,260,USA_INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment-block/for-sale/rixensart-rosieres/1331/20005840,20005840,Rixensart Rosières,1331,435000,HOUSE,APARTMENT_BLOCK,233,0,0,50,560,3,1,872,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/mouscron-dottignies/7711/20217034,20217034,Mouscron Dottignies,7711,492057,HOUSE,HOUSE,159,,0,null,null,4,0,1439,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/broechem/2520/20058088,20058088,Broechem,2520,310000,APARTMENT,APARTMENT,100,,0,null,null,2,0,,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beauvechain/1320/20224642,20224642,BEAUVECHAIN,1320,450000,HOUSE,HOUSE,150,,0,40,845,0,0,845,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ecaussinnes/7190/11179406,11179406,Écaussinnes,7190,250000,HOUSE,HOUSE,180,,0,39,230,2,1,324,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/duplex/for-sale/ottignies-louvain-la-neuve/1348/11380050,11380050,Ottignies-Louvain-la-Neuve,1348,375000,APARTMENT,DUPLEX,85,0,0,12,null,2,1,,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/country-cottage/for-sale/ranst/2520/20214677,20214677,Ranst,2520,695000,HOUSE,COUNTRY_COTTAGE,346,,0,40,1100,3,1,1921,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/rixensart/1331/20103863,20103863,Rixensart,1331,335000,APARTMENT,APARTMENT,95,0,0,null,null,4,1,,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beauvechain/1320/20208534,20208534,Beauvechain,1320,337000,HOUSE,HOUSE,180,,0,20,null,2,1,127,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/mouscron/7711/20079922,20079922,Mouscron,7711,215000,HOUSE,HOUSE,152,,0,20,70,2,1,191,SEMI_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/ranst/2520/20068776,20068776,Ranst,2520,364000,APARTMENT,APARTMENT,109,,0,7,null,0,0,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/rosieres/1331/10914063,10914063,Rosières,1331,495000,HOUSE,HOUSE,162,0,0,,1270,3,1,1270,INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/louvain-la-neuve/1348/20212564,20212564,LOUVAIN-LA-NEUVE,1348,412000,APARTMENT,APARTMENT,90,,0,9,null,0,0,,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/emblem/2520/20220287,20220287,EMBLEM,2520,459000,HOUSE,HOUSE,178,,0,15,334,3,0,502,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/rosieres/1331/20215174,20215174,Rosières,1331,595000,HOUSE,HOUSE,165,0,0,null,297,3,0,297,INSTALLED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ottignies-louvain-la-neuve/1348/11455846,11455846,Ottignies-Louvain-la-Neuve,1348,620000,HOUSE,HOUSE,271,,0,40,1,0,1,280,USA_HYPER_EQUIPPED,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/louvain-la-neuve/1348/20182301,20182301,LOUVAIN-LA-NEUVE,1348,175000,APARTMENT,APARTMENT,46,,0,null,null,0,0,,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/rosieres/1331/20220323,20220323,Rosières,1331,340000,HOUSE,HOUSE,,,0,40,400,4,1,600,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/penthouse/for-sale/balen/2490/20230390,20230390,Balen,2490,245000,APARTMENT,PENTHOUSE,102,,0,14,null,2,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/penthouse/for-sale/balen/2490/20230397,20230397,Balen,2490,402380,APARTMENT,PENTHOUSE,126,,0,25,null,3,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/ground-floor/for-sale/ottignies-louvain-la-neuve/1348/20186591,20186591,Ottignies-Louvain-la-Neuve,1348,189000,APARTMENT,GROUND_FLOOR,42,0,0,null,28,2,1,,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/neder-over-heembeek/1120/20198199,20198199,Neder-Over-Heembeek,1120,679000,HOUSE,HOUSE,240,0,0,50,150,3,1,356,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/louvain-la-neuve/1348/20006301,20006301,LOUVAIN-LA-NEUVE,1348,145000,APARTMENT,APARTMENT,29,,0,null,null,0,0,,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/penthouse/for-sale/balen/2490/20230398,20230398,Balen,2490,550050,APARTMENT,PENTHOUSE,159,,0,35,null,3,0,,INSTALLED,,FOR_SALE
