link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale,street,lon,lat
https://www.immoweb.be/en/classified/house/for-sale/tessenderlo/3980/20122629,20122629,Tessenderlo,3980,435000,HOUSE,HOUSE,4,218,,0,null,550,3,0,872,,AS_NEW,FOR_SALE,Tushoekstraat,5.129721,51.069352
https://www.immoweb.be/en/classified/villa/for-sale/beringen/3581/20082942,20082942,Beringen,3581,1075000,HOUSE,VILLA,6,424,,0,null,null,4,0,1248,,AS_NEW,FOR_SALE,Laardijkstraat,5.2234419,51.0836042
https://www.immoweb.be/en/classified/villa/for-sale/tessenderlo/3980/11344916,11344916,Tessenderlo,3980,989000,HOUSE,VILLA,5,457,,0,null,null,4,1,1000,,GOOD,FOR_SALE,Russelenberg,5.0751517,51.0624057
https://www.immoweb.be/en/classified/house/for-sale/tessenderlo/3980/20339155,20339155,Tessenderlo,3980,240000,HOUSE,HOUSE,3,143,,0,null,null,4,0,1147,,TO_BE_DONE_UP,FOR_SALE,Sparrenweg,5.0531001,51.0347642
https://www.immoweb.be/en/classified/exceptional-property/for-sale/scherpenheuvel-zichem/3270/20012791,20012791,Scherpenheuvel-Zichem,3270,620000,HOUSE,EXCEPTIONAL_PROPERTY,8,,,0,,null,4,0,2350,,TO_RENOVATE,FOR_SALE,Houwaartstraat,4.9425433,50.9638871
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/hastiere/5540/10373302,10373302,Hastière,5540,150000,HOUSE,MIXED_USE_BUILDING,2,321,0,0,null,null,2,0,0,,TO_BE_DONE_UP,FOR_SALE,,,
https://www.immoweb.be/en/classified/house/for-sale/tielt-8700/8700/20127320,20127320,Tielt (8700),8700,443600,HOUSE,HOUSE,3,156,,0,,null,0,0,362,,GOOD,FOR_SALE,Weverijstraat,3.330747,50.9891736
https://www.immoweb.be/en/classified/chalet/for-sale/hastiere/5540/20405836,20405836,Hastière,5540,149000,HOUSE,CHALET,1,55,1,0,,200,4,0,299,,AS_NEW,FOR_SALE,Allée des Genêts,4.8327317,50.2211815
https://www.immoweb.be/en/classified/house/for-sale/tessenderlo/3980/20186484,20186484,Tessenderlo,3980,235000,HOUSE,HOUSE,4,187,0,0,,null,2,1,213,INSTALLED,TO_BE_DONE_UP,FOR_SALE,Schutpenning,5.1298655,51.07096259999999
https://www.immoweb.be/en/classified/apartment/for-sale/mortsel/2640/20218817,20218817,MORTSEL,2640,235000,APARTMENT,APARTMENT,1,68,,0,14,21,0,0,,INSTALLED,GOOD,FOR_SALE,Antwerpsestraat,4.4418729,51.1743709
https://www.immoweb.be/en/classified/house/for-sale/tessenderlo/3980/20367083,20367083,TESSENDERLO,3980,455000,HOUSE,HOUSE,4,211,,0,25,null,3,0,633,HYPER_EQUIPPED,,FOR_SALE,,,
https://www.immoweb.be/en/classified/chalet/for-sale/hastiere/5540/10160288,10160288,Hastiere,5540,80000,HOUSE,CHALET,3,60,,0,,null,3,0,500,,GOOD,FOR_SALE,,,
https://www.immoweb.be/en/classified/apartment/for-sale/meulebeke/8760/20408031,20408031,Meulebeke,8760,247500,APARTMENT,APARTMENT,2,,0,0,null,30,0,0,,,AS_NEW,FOR_SALE,Goethalsplaats,3.2867383,50.9507532
https://www.immoweb.be/en/classified/house/for-sale/deux-acren/7864/20402114,20402114,Deux-Acren,7864,425000,HOUSE,HOUSE,4,,,0,null,900,4,1,1391,SEMI_EQUIPPED,AS_NEW,FOR_SALE,Rue des Ames,3.8520674,50.7332568
https://www.immoweb.be/en/classified/apartment/for-sale/mortsel/2640/20184857,20184857,MORTSEL,2640,220000,APARTMENT,APARTMENT,2,78,,0,,null,2,0,,SEMI_EQUIPPED,TO_BE_DONE_UP,FOR_SALE,Mechelsesteenweg,4.4524272,51.1671687
https://www.immoweb.be/en/classified/house/for-sale/tessenderlo/3980/20185658,20185658,Tessenderlo,3980,295000,HOUSE,HOUSE,3,225,,0,,null,3,1,596,,AS_NEW,FOR_SALE,Engsbergseweg,5.0395272,51.0292192
https://www.immoweb.be/en/classified/apartment/for-sale/la-louviere-saint-vaast/7100/20408349,20408349,La Louvière Saint-Vaast,7100,229000,APARTMENT,APARTMENT,3,130,0,0,,null,4,0,,INSTALLED,GOOD,FOR_SALE,Rue Omer Thiriar,4.179346,50.4650143
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/tielt/8700/20406605,20406605,Tielt,8700,397000,HOUSE,MIXED_USE_BUILDING,3,267,,1,null,null,3,0,320,INSTALLED,GOOD,FOR_SALE,Ieperstraat,3.3222824,50.9983119
https://www.immoweb.be/en/classified/house/for-sale/tielt/8700/20406901,20406901,Tielt,8700,292500,HOUSE,HOUSE,3,105,,0,9,null,2,0,62,,AS_NEW,FOR_SALE,Felix D'Hoopstraat,3.3362949,50.9983928
https://www.immoweb.be/en/classified/house/for-sale/meulebeke/8760/20401660,20401660,Meulebeke,8760,190000,HOUSE,HOUSE,3,,,0,null,20,3,0,90,,GOOD,FOR_SALE,Bruggesteenweg,3.2445482,50.96251609999999
https://www.immoweb.be/en/classified/house/for-sale/tessenderlo/3980/20008998,20008998,Tessenderlo,3980,239000,HOUSE,HOUSE,3,188,,0,null,null,3,0,824,,TO_RENOVATE,FOR_SALE,Schoterweg,5.0786166,51.0668684
