link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale,street,lon,lat
https://www.immoweb.be/en/classified/house/for-sale/beringen/3583/20366336,20366336,Beringen,3583,475000,HOUSE,HOUSE,3,190,,0,28,null,3,0,528,,AS_NEW,FOR_SALE,Driesstraat,5.1709438,51.0344772
https://www.immoweb.be/en/classified/house/for-sale/rhisnes/5080/20248023,20248023,Rhisnes,5080,349000,HOUSE,HOUSE,3,172,,0,null,null,0,0,1300,INSTALLED,TO_BE_DONE_UP,FOR_SALE,Rue des Spinettes,4.799805099999999,50.5033115
https://www.immoweb.be/en/classified/house/for-sale/kinrooi/3640/20299125,20299125,KINROOI,3640,398681,HOUSE,HOUSE,3,161,,0,null,null,4,0,513,,,FOR_SALE,Hilvenstraat,5.7278007,51.1439083
https://www.immoweb.be/en/classified/town-house/for-sale/mortsel/2640/20360065,20360065,MORTSEL,2640,299000,HOUSE,TOWN_HOUSE,2,132,,0,null,null,2,0,70,INSTALLED,GOOD,FOR_SALE,Edegemsestraat,4.44475,51.1666921
https://www.immoweb.be/en/classified/house/for-sale/beringen/3583/11284985,11284985,Beringen,3583,425000,HOUSE,HOUSE,3,168,,0,null,null,3,0,762,,AS_NEW,FOR_SALE,Diestersesteenweg,5.171581700000001,51.03971749999999
https://www.immoweb.be/en/classified/house/for-sale/kinrooi/3640/20355522,20355522,KINROOI,3640,358171,HOUSE,HOUSE,3,190,,0,null,null,4,0,491,,,FOR_SALE,Putstraatje,5.803188,51.1264979
https://www.immoweb.be/en/classified/house/for-sale/beringen/3583/20203985,20203985,Beringen,3583,320000,HOUSE,HOUSE,3,,,0,null,1,3,1,618,,TO_BE_DONE_UP,FOR_SALE,Haantjeslaan,5.154396999999999,51.045896
https://www.immoweb.be/en/classified/house/for-sale/beringen/3583/20199184,20199184,Beringen,3583,635000,HOUSE,HOUSE,4,357,,0,100,null,4,1,1760,,AS_NEW,FOR_SALE,Beverlosesteenweg,5.1939912,51.0512755
https://www.immoweb.be/en/classified/house/for-sale/beringen/3583/11284986,11284986,Beringen,3583,425000,HOUSE,HOUSE,3,168,,0,null,null,3,0,725,,AS_NEW,FOR_SALE,Diestersesteenweg,5.171581700000001,51.03971749999999
https://www.immoweb.be/en/classified/house/for-sale/diepenbeek/3590/20384807,20384807,Diepenbeek,3590,290000,HOUSE,HOUSE,3,178,,0,,1450,4,0,1703,,TO_BE_DONE_UP,FOR_SALE,Rooistraat,5.386589000000001,50.9209988
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/diepenbeek/3590/20300390,20300390,Diepenbeek,3590,559000,HOUSE,MIXED_USE_BUILDING,5,452,0,0,null,null,2,1,213,HYPER_EQUIPPED,GOOD,FOR_SALE,Dorpsstraat,5.4205046,50.9080057
https://www.immoweb.be/en/classified/house/for-sale/kinrooi/3640/20298770,20298770,KINROOI,3640,398272,HOUSE,HOUSE,3,175,,0,null,null,4,0,492,,,FOR_SALE,Hilvenstraat,5.728321999999999,51.14547109999999
