link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale,street,lon,lat
https://www.immoweb.be/en/classified/house/for-sale/lessines/7860/11390256,11390256,Lessines,7860,99000,HOUSE,HOUSE,3,184,,0,,null,2,0,0,,TO_RENOVATE,FOR_SALE,,,
https://www.immoweb.be/en/classified/flat-studio/for-sale/saint-gilles/1060/20404046,20404046,Saint-Gilles,1060,185000,APARTMENT,FLAT_STUDIO,1,48,0,0,null,null,2,1,,SEMI_EQUIPPED,AS_NEW,FOR_SALE,Chaussée d'Alsemberg,4.3440259,50.82653939999999
https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/20324495,20324495,Wavre,1300,110000,APARTMENT,APARTMENT,1,40,0,0,null,null,2,1,,INSTALLED,GOOD,FOR_SALE,Rue de Namur,4.6134635,50.7115333
https://www.immoweb.be/en/classified/house/for-sale/lessines/7860/20337740,20337740,Lessines,7860,79000,HOUSE,HOUSE,3,,,0,,null,3,0,0,,TO_RENOVATE,FOR_SALE,,,
https://www.immoweb.be/en/classified/apartment/for-sale/saint-gilles/1060/20400283,20400283,Saint Gilles,1060,335000,APARTMENT,APARTMENT,1,91,0,0,2,null,2,1,,HYPER_EQUIPPED,,FOR_SALE,Rue du Danemark,4.3377626,50.8312153
https://www.immoweb.be/en/classified/villa/for-sale/lessen/7860/20360307,20360307,Lessen,7860,445000,HOUSE,VILLA,5,280,,0,50,1500,4,1,2154,INSTALLED,GOOD,FOR_SALE,Rue Des Combattants,3.8686413,50.6903184
https://www.immoweb.be/en/classified/apartment/for-sale/stekene/9190/20404531,20404531,Stekene,9190,305000,APARTMENT,APARTMENT,3,100,0,0,23,null,3,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE,Molenbergstraat,4.0360042,51.2026548
https://www.immoweb.be/en/classified/apartment/for-sale/stekene/9190/20402194,20402194,STEKENE,9190,385000,APARTMENT,APARTMENT,2,122,,0,25,null,3,0,,INSTALLED,,FOR_SALE,Dorpsstraat,4.0377798,51.2033364
https://www.immoweb.be/en/classified/loft/for-sale/rhode-saint-genese/1640/20403683,20403683,Rhode-Saint-Genèse,1640,560000,APARTMENT,LOFT,3,140,0,0,,null,0,0,,,JUST_RENOVATED,FOR_SALE,Rue de l'Eglise,4.349277100000001,50.7442581
https://www.immoweb.be/en/classified/apartment/for-sale/broechem/2520/20402510,20402510,BROECHEM,2520,295000,APARTMENT,APARTMENT,2,110,,0,6,null,2,0,,INSTALLED,GOOD,FOR_SALE,Pertendonckstraat,4.5974226,51.1818158
https://www.immoweb.be/en/classified/ground-floor/for-sale/stekene/9190/20402193,20402193,STEKENE,9190,425000,APARTMENT,GROUND_FLOOR,2,110,,0,40,null,3,0,,INSTALLED,,FOR_SALE,Dorpsstraat,4.0377798,51.2033364
https://www.immoweb.be/en/classified/house/for-sale/stekene/9190/20404002,20404002,STEKENE,9190,495000,HOUSE,HOUSE,5,238,,0,,null,3,0,245,INSTALLED,,FOR_SALE,Oost Eindeken,4.0476968,51.2116114
https://www.immoweb.be/en/classified/house/for-sale/stekene/9190/20401328,20401328,STEKENE,9190,471000,HOUSE,HOUSE,3,170,,0,null,200,3,0,300,HYPER_EQUIPPED,,FOR_SALE,Prinsenstraat,4.0154883,51.2146008
https://www.immoweb.be/en/classified/house/for-sale/stekene/9190/20390069,20390069,STEKENE,9190,275000,HOUSE,HOUSE,3,120,,0,30,150,3,0,294,HYPER_EQUIPPED,GOOD,FOR_SALE,Bormte,4.04788,51.19809
https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20310264,20310264,Oudenaarde,9700,299000,HOUSE,HOUSE,3,169,0,0,,null,4,0,811,,TO_RENOVATE,FOR_SALE,Berchemweg,3.549663,50.8079787
https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20404325,20404325,Oudenaarde,9700,545000,HOUSE,HOUSE,6,354,0,1,null,null,0,1,160,INSTALLED,GOOD,FOR_SALE,Kattestraat,3.6045386,50.8450275
https://www.immoweb.be/en/classified/apartment/for-sale/stekene/9190/20404571,20404571,Stekene,9190,282000,APARTMENT,APARTMENT,2,88,0,0,17,null,3,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE,Molenbergstraat,4.0357332,51.202676
https://www.immoweb.be/en/classified/house/for-sale/lubbeek/3210/20402616,20402616,Lubbeek,3210,449000,HOUSE,HOUSE,3,149,0,0,20,75,3,0,178,HYPER_EQUIPPED,AS_NEW,FOR_SALE,Broekstraat,4.842514,50.8820369
https://www.immoweb.be/en/classified/apartment/for-sale/stekene/9190/20404532,20404532,Stekene,9190,246000,APARTMENT,APARTMENT,1,66,0,0,11,null,3,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE,Molenbergstraat,4.0357332,51.202676
https://www.immoweb.be/en/classified/house/for-sale/stekene/9190/20390825,20390825,STEKENE,9190,350000,HOUSE,HOUSE,3,150,,0,null,null,4,0,726,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE,Steenovenstraat,4.0444176,51.200943
https://www.immoweb.be/en/classified/house/for-sale/mons/7000/20402426,20402426,Mons,7000,428000,HOUSE,HOUSE,4,,,0,null,null,2,1,0,,GOOD,FOR_SALE,Rue Du 11 Novembre,3.9516733,50.4564468
https://www.immoweb.be/en/classified/house/for-sale/stekene/9190/20402605,20402605,STEKENE,9190,259000,HOUSE,HOUSE,2,111,,0,25,null,2,0,0,INSTALLED,GOOD,FOR_SALE,Heidestraat,3.937724199999999,51.1757663
https://www.immoweb.be/en/classified/penthouse/for-sale/antwerpen/2060/20143805,20143805,ANTWERPEN,2060,649000,APARTMENT,PENTHOUSE,6,194,,0,79,null,3,0,,INSTALLED,GOOD,FOR_SALE,Viaduct Dam,4.4234236,51.2336311
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/lessen/7860/20399788,20399788,Lessen,7860,175000,HOUSE,MIXED_USE_BUILDING,3,289,,0,20,null,3,1,130,INSTALLED,TO_RENOVATE,FOR_SALE,Grand'place,3.8292658,50.7123472
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/20143808,20143808,ANTWERPEN,2060,649000,APARTMENT,APARTMENT,6,194,,0,79,null,3,0,,INSTALLED,GOOD,FOR_SALE,Viaduct Dam,4.4234236,51.2336311
https://www.immoweb.be/en/classified/house/for-sale/balen/2490/20404304,20404304,Balen,2490,295000,HOUSE,HOUSE,3,209,0,0,,null,3,0,590,,TO_BE_DONE_UP,FOR_SALE,Sportlaan,5.235582099999999,51.1885315
https://www.immoweb.be/en/classified/house/for-sale/bioul/5537/20341638,20341638,BIOUL,5537,600000,HOUSE,HOUSE,5,400,,1,135,3426,4,0,3426,INSTALLED,GOOD,FOR_SALE,Rue de Warnant,4.808629499999999,50.3314603
https://www.immoweb.be/en/classified/house/for-sale/berlare/9290/20404605,20404605,Berlare,9290,589000,HOUSE,HOUSE,3,155,0,0,50,312,4,1,397,INSTALLED,AS_NEW,FOR_SALE,Wilgenpark,3.9551865,51.045777
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/aalst/9290/20400881,20400881,AALST,9290,265000,HOUSE,MIXED_USE_BUILDING,0,150,,0,,null,2,0,170,INSTALLED,GOOD,FOR_SALE,Naarstigheidstraat,4.0184232,50.9410553
https://www.immoweb.be/en/classified/exceptional-property/for-sale/sprimont-gomze-andoumont/4140/20341276,20341276,Sprimont Gomze-Andoumont,4140,890000,HOUSE,EXCEPTIONAL_PROPERTY,6,340,,1,,null,4,1,4479,,GOOD,FOR_SALE,Avenue Bois le Comte,5.6534929,50.5471175
