link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/house/for-sale/saint-nicolas/4420/20340397,20340397,SAINT-NICOLAS,4420,229000,HOUSE,HOUSE,187,0,0,,105,2,1,199,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/grez-doiceau/1390/20345000,20345000,Grez-Doiceau,1390,790000,HOUSE,MIXED_USE_BUILDING,280,,1,1,1,4,1,5772,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/aulnois/7040/20394385,20394385,Aulnois,7040,90000,HOUSE,HOUSE,110,,0,null,null,3,0,223,,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/lokeren/9160/20183888,20183888,Lokeren,9160,319000,HOUSE,HOUSE,158,,0,,null,4,0,437,,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/de-pinte/9840/20384706,20384706,De Pinte,9840,775000,HOUSE,VILLA,241,0,0,null,null,0,1,2669,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment-block/for-sale/gilly/6060/20315566,20315566,GILLY,6060,130000,HOUSE,APARTMENT_BLOCK,,,0,,null,2,0,329,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/eeklo/9900/20396739,20396739,Eeklo,9900,307000,HOUSE,HOUSE,163,0,0,,null,3,1,163,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/de-pinte/9840/20310663,20310663,De Pinte,9840,649500,HOUSE,HOUSE,211,,0,20,280,3,1,579,,JUST_RENOVATED,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/11355705,11355705,Grez-Doiceau,1390,899000,HOUSE,HOUSE,396,,0,null,null,3,1,2002,NOT_INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau-biez/1390/20146798,20146798,Grez-Doiceau Biez,1390,790000,HOUSE,HOUSE,200,0,0,70,null,4,1,5760,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/eeklo/9900/20377035,20377035,Eeklo,9900,189000,HOUSE,HOUSE,134,,0,null,null,0,0,250,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/lokeren/9160/20279663,20279663,Lokeren,9160,299000,APARTMENT,APARTMENT,107,1,0,10,null,2,1,,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/de-pinte/9840/20295233,20295233,De Pinte,9840,255000,HOUSE,HOUSE,118,,0,,null,3,0,381,NOT_INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/anderlues/6150/11408643,11408643,ANDERLUES,6150,120000,HOUSE,HOUSE,221,,0,,null,2,0,530,INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/eeklo/9900/20324946,20324946,Eeklo,9900,475000,HOUSE,VILLA,188,0,0,,null,4,0,873,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/charleroi/6060/20257275,20257275,Charleroi,6060,199900,HOUSE,HOUSE,90,,0,null,null,4,0,182,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/lokeren/9160/20163378,20163378,LOKEREN,9160,895000,HOUSE,HOUSE,358,,0,,null,4,0,1892,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/11450333,11450333,Grez-Doiceau,1390,4980000,HOUSE,HOUSE,1093,0,0,450,null,4,1,11054,USA_UNINSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/lokeren/9160/20334676,20334676,Lokeren,9160,259000,HOUSE,HOUSE,120,,0,14,80,2,0,179,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/de-pinte/9840/20119211,20119211,De Pinte,9840,489000,HOUSE,HOUSE,203,,0,null,null,4,0,960,,,FOR_SALE
